Date_reported,Country,WHO_region,Cumulative_cases,Population,Cases per Capita
2020-01-12,Indonesia,SEARO,0,279134505.0,0.0241112756733532
2020-01-12,Togo,AFRO,0,8680837.0,0.0045334338151954
2020-01-12,Chile,AMRO,0,19250195.0,0.2659183971902622
2020-01-12,Honduras,AMRO,0,10221247.0,0.0460567091275653
2020-01-12,India,SEARO,0,1406631776.0,0.0317658002345597
2020-01-12,Ecuador,AMRO,0,18113361.0,0.0580366614456588
2020-01-12,Azerbaijan,EURO,0,10300205.0,0.0803813127991141
2020-01-12,Iceland,EURO,0,345393.0,0.6042044859044624
2020-01-12,Seychelles,AFRO,0,99426.0,0.509574960271961
2020-01-12,Senegal,AFRO,0,17653671.0,0.0050358931012139
2020-01-12,Algeria,AFRO,0,45350148.0,0.0059840598535643
2020-01-12,Uzbekistan,EURO,0,34382084.0,0.0072877199648514
2020-01-12,Hungary,EURO,0,9606259.0,0.2282310939149152
2020-01-12,Chad,AFRO,0,17413580.0,0.0004394271597224
2020-01-12,Singapore,WPRO,0,5943546.0,0.3730281552460434
2020-01-12,Israel,EURO,0,9326000.0,0.5132092000857816
2020-01-12,Grenada,AMRO,0,113475.0,0.1734302709847984
2020-01-12,Dominica,AMRO,0,72344.0,0.2178480592723653
2020-01-12,Kiribati,WPRO,0,123419.0,0.0405772206872523
2020-01-12,Australia,WPRO,0,26068792.0,0.4332938020296452
2020-01-12,Kenya,AFRO,0,56215221.0,0.0060981704581397
2020-01-12,Bahrain,EMRO,0,1783983.0,0.3926337863085018
2020-01-12,Saint Kitts and Nevis,AMRO,0,53871.0,0.1223663937925785
2020-01-12,Uruguay,AMRO,0,3496016.0,0.2953962453261083
2020-01-12,Kazakhstan,EURO,0,19205043.0,0.0732056158374652
2020-01-12,Canada,AMRO,0,38388419.0,0.1185319978923852
2020-01-12,Cameroon,AFRO,0,27911548.0,0.0044423548274714
2020-01-12,Comoros,AFRO,0,907419.0,0.0099094244224553
2020-01-12,Saint Lucia,AMRO,0,185113.0,0.160998957393592
2020-01-12,Jordan,EMRO,0,10300869.0,0.1695970505012732
2020-01-12,Samoa,WPRO,0,202239.0,0.0795444993300006
2020-01-12,Guinea,AFRO,0,13865691.0,0.0027578863541672
2020-01-12,Slovakia,EURO,0,5460193.0,0.3408108467960748
2020-01-12,Angola,AFRO,0,35027343.0,0.0030029111828436
2020-01-12,Jamaica,AMRO,0,2985094.0,0.0513910114723355
2020-01-12,Cayman Islands,AMRO,0,67277.0,0.4677973155759026
2020-01-12,Vanuatu,WPRO,0,321832.0,0.0373300355464963
2020-01-12,Italy,EURO,0,60262770.0,0.4223800034415942
2020-01-12,Anguilla,AMRO,0,15230.0,0.2563361785948785
2020-01-12,Guinea-Bissau,AFRO,0,2063367.0,0.0043361166481774
2020-01-12,Guatemala,AMRO,0,18584039.0,0.0660702982812293
2020-01-12,Mali,AFRO,0,21473764.0,0.0015266536411595
2020-01-12,Georgia,EURO,0,3968738.0,0.4571176026233024
2020-01-12,Morocco,EMRO,0,37772756.0,0.0336814184276095
2020-01-12,Mexico,AMRO,0,131562772.0,0.056005600125239
2020-01-12,Cyprus,EURO,0,1223387.0,0.5253145570453176
2020-01-12,Equatorial Guinea,AFRO,0,1496662.0,0.0114855591977346
2020-01-12,Denmark,EURO,0,5834950.0,0.5438344801583561
2020-01-12,Suriname,AMRO,0,596831.0,0.137425837464877
2020-01-12,Brazil,AMRO,0,215353593.0,0.170995893251709
2020-01-12,Switzerland,EURO,0,8773637.0,0.4998726297885358
